Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Khabib Nurmagomedov,13,4.11,49,1.65,67,5.35,47,84,0.7
Conor McGregor,12,5.43,49,4.4,55,0.75,62,70,0
Max Holloway,22,6.66,44,4.45,62,0.24,83,85,0.4
Demetrious Johnson,21,3.43,54,1.66,67,3.35,56,65,0.5
Donald Cerrone,44,4.33,46,4.27,53,1.21,36,73,1.3
Darren Till,9,2.41,46,3.03,59,0.66,41,82,0
Daniel Cormier,22,4.25,52,2.75,56,1.95,44,77,0.5
