Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Thomas Almeida,10.0,4.84,43.0,4.93,61.0,0.17,14.0,75.0,0.0
Ericka Almeida,2.0,1.07,39.0,3.33,43.0,0.5,33.0,37.0,0.0
Estefani Almeida,1.0,3.13,37.0,6.07,42.0,0.0,0.0,0.0,0.0
Jailton Almeida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauricio Alonso,0.0,5.74,34.0,1.91,67.0,0.0,0.0,0.0,0.0
Sarah Alpar,2.0,2.11,54.0,4.76,32.0,2.69,28.0,50.0,0.7
Ali AlQaisi,2.0,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0
Rico Altamirano,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Altman,1.0,1.56,20.0,2.08,75.0,0.0,0.0,0.0,0.0
Sean Alvarez,1.0,0.89,37.0,3.25,47.0,0.0,0.0,0.0,0.0
Eddie Alvarez,13.0,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5
Jaime Alvarez,1.0,2.73,40.0,4.53,56.0,1.0,33.0,50.0,0.0
Joel Alvarez,4.0,2.84,37.0,3.31,53.0,0.0,0.0,0.0,1.6
Thiago Alves,27.0,3.73,41.0,3.42,62.0,0.71,60.0,63.0,0.3
Anthony Alves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amilcar Alves,2.0,0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0
Warlley Alves,12.0,3.09,47.0,3.62,50.0,1.48,54.0,75.0,1.0
Rafael Alves,2.0,2.01,46.0,3.71,56.0,0.0,0.0,50.0,1.3
Sam Alvey,21.0,3.2,43.0,3.44,54.0,0.07,16.0,82.0,0.1
Andre Amado,3.0,2.27,24.0,5.91,63.0,0.0,0.0,20.0,0.0
Adlan Amagov,6.0,3.29,47.0,0.82,78.0,5.84,56.0,100.0,0.0
Maiara Amanajas dos Santos,1.0,5.53,35.0,24.47,33.0,0.0,0.0,100.0,0.0
Chris Amarante,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Ambriz,3.0,0.83,29.0,3.76,40.0,3.13,57.0,100.0,0.8
JJ Ambrose,1.0,3.16,69.0,6.32,33.0,0.0,0.0,50.0,0.0
