Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Cole Escovedo,8.0,1.77,43.0,4.32,49.0,0.43,33.0,13.0,0.0
Efrain Escudero,12.0,2.92,44.0,2.3,63.0,1.31,40.0,66.0,0.8
Evan Esguerra,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carla Esparza,13.0,2.34,43.0,2.75,53.0,3.53,37.0,48.0,0.3
Juan Espino,3.0,2.38,70.0,1.95,40.0,8.93,78.0,50.0,2.4
Jordan Espinosa,8.0,4.22,52.0,2.94,57.0,0.75,28.0,70.0,0.2
Jodie Esquibel,4.0,4.1,31.0,7.37,52.0,0.75,21.0,83.0,0.0
Terry Etim,11.0,2.16,35.0,2.53,67.0,0.43,30.0,39.0,1.4
Fred Ettish,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Ettling,0.0,0.0,0.0,0.54,83.0,8.04,100.0,0.0,0.0
Sijara Eubanks,9.0,4.52,43.0,3.69,57.0,1.88,46.0,65.0,0.4
Billy Evangelista,10.0,4.51,40.0,3.96,61.0,1.6,19.0,61.0,0.2
Rashad Evans,26.0,2.14,37.0,2.42,63.0,2.98,44.0,73.0,0.0
Doug Evans,2.0,1.79,35.0,2.55,55.0,3.19,83.0,69.0,0.6
Ashlee Evans-Smith,8.0,4.54,34.0,4.69,55.0,1.1,23.0,66.0,0.0
Dan Evensen,2.0,0.27,10.0,3.86,38.0,0.0,0.0,0.0,4.0
Tonya Evinger,5.0,1.16,42.0,4.02,38.0,0.93,30.0,33.0,0.9
Movsar Evloev,5.0,4.7,44.0,2.83,64.0,2.75,37.0,70.0,0.0
Andre Ewell,7.0,4.42,41.0,4.25,52.0,0.29,66.0,70.0,0.1
Neal Ewing,0.0,2.27,60.0,1.93,48.0,5.0,62.0,0.0,0.0
Jessica Eye,14.0,3.76,37.0,4.01,55.0,0.45,40.0,57.0,0.5
Edward Faaloloto,3.0,2.28,32.0,6.25,44.0,1.01,25.0,33.0,0.0
Urijah Faber,30.0,2.65,40.0,2.59,64.0,1.54,30.0,58.0,0.8
Melinda Fabian,2.0,4.03,41.0,4.0,62.0,0.0,0.0,100.0,0.0
Wagnney Fabiano,6.0,1.19,38.0,0.66,70.0,3.44,64.0,100.0,0.4
Bartosz Fabinski,6.0,2.23,68.0,1.46,51.0,7.1,70.0,80.0,0.0
Ron Faircloth,1.0,0.39,40.0,8.9,42.0,0.0,0.0,0.0,0.0
Jason Fairn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zarah Fairn,2.0,1.98,45.0,6.61,39.0,0.0,0.0,50.0,0.0
Rinat Fakhretdinov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maiquel Falcao,1.0,1.67,55.0,0.53,86.0,1.0,100.0,71.0,3.0
Brodie Farber,2.0,1.69,45.0,2.17,53.0,0.9,50.0,20.0,0.9
Joao Paulo Faria,0.0,6.69,64.0,2.09,85.0,1.25,50.0,0.0,1.2
Kalindra Faria,3.0,2.23,56.0,1.44,45.0,1.31,66.0,20.0,0.7
Chance Farrar,2.0,0.81,22.0,2.21,67.0,3.02,100.0,0.0,0.0
Rico Farrington,1.0,6.33,41.0,7.2,51.0,0.0,0.0,20.0,0.0
Kelly Faszholz,2.0,4.01,48.0,3.61,52.0,0.0,0.0,44.0,0.0
Rodney Faverus,1.0,2.3,53.0,1.6,54.0,4.5,100.0,25.0,0.0
Paul Felder,15.0,3.7,44.0,3.44,48.0,0.29,28.0,64.0,0.2
Carlos Felipe,4.0,4.42,45.0,4.6,47.0,0.0,0.0,70.0,0.0
JP Felty,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Ferguson,6.0,2.3,50.0,3.41,38.0,3.1,72.0,36.0,1.2
Rhadi Ferguson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Ferguson,19.0,5.15,45.0,3.78,59.0,0.42,42.0,67.0,1.1
Josh Ferguson,2.0,2.13,43.0,4.18,32.0,0.59,11.0,54.0,0.0
CJ Fernandes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bibiano Fernandes,10.0,2.91,40.0,2.02,72.0,3.97,53.0,77.0,0.6
Alexandre Ferreira,1.0,2.57,60.0,8.14,42.0,0.0,0.0,0.0,0.0
Cezar Ferreira,15.0,1.9,42.0,2.44,53.0,2.69,53.0,84.0,0.5
Diego Ferreira,12.0,4.7,37.0,3.38,56.0,0.81,24.0,66.0,0.8
Scott Ferrozzo,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timo Feucht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Fickett,9.0,2.33,41.0,2.29,57.0,1.3,35.0,30.0,2.2
Scott Fiedler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ron Fields,1.0,0.33,33.0,2.64,11.0,0.0,0.0,0.0,0.0
Deiveson Figueiredo,12.0,3.38,56.0,3.35,50.0,1.57,50.0,61.0,2.4
Francisco Figueiredo,1.0,1.93,54.0,2.07,76.0,4.0,66.0,100.0,0.0
Anthony Figueroa,6.0,2.37,48.0,3.77,49.0,0.0,0.0,58.0,0.0
Edwin Figueroa,6.0,2.57,39.0,3.06,51.0,0.2,100.0,37.0,0.6
Paulo Filho,12.0,1.86,48.0,1.67,66.0,2.4,32.0,42.0,1.6
Andre Fili,16.0,3.73,36.0,3.9,52.0,2.5,49.0,64.0,0.2
Mirko Filipovic,41.0,2.11,50.0,1.89,63.0,0.19,40.0,78.0,0.3
Brady Fink,1.0,1.69,41.0,1.69,61.0,3.63,25.0,0.0,3.6
Jesse Finney,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Finney,2.0,2.16,28.0,8.75,42.0,0.77,11.0,25.0,0.0
Luigi Fioravanti,9.0,2.23,42.0,2.21,69.0,3.76,63.0,67.0,0.9
Manon Fiorot,2.0,5.8,53.0,1.86,79.0,1.64,100.0,100.0,0.0
Luiz Firmino,7.0,1.23,50.0,1.22,51.0,3.86,45.0,20.0,0.9
Spencer Fisher,17.0,3.17,43.0,3.03,64.0,0.67,30.0,60.0,0.8
Chris Fishgold,4.0,2.01,32.0,2.7,46.0,2.59,46.0,44.0,1.3
Bryanna Fissori,0.0,1.4,46.0,1.2,57.0,2.0,25.0,50.0,0.0
Jon Fitch,19.0,2.61,50.0,1.65,54.0,3.6,51.0,56.0,0.8
Isi Fitikefu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Fiziev,4.0,4.67,57.0,4.17,55.0,0.84,50.0,100.0,0.0
Colin Fletcher,2.0,3.1,34.0,2.97,62.0,0.0,0.0,27.0,0.0
AJ Fletcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Flick,2.0,1.99,58.0,2.3,50.0,1.81,50.0,0.0,7.2
Luke Flores,2.0,1.56,44.0,1.88,60.0,0.0,0.0,40.0,1.2
Ty Flores,1.0,2.0,37.0,7.8,25.0,1.0,9.0,0.0,0.0
Alejandro Flores,1.0,3.66,40.0,2.02,54.0,0.0,0.0,0.0,0.0
Kenny Florian,18.0,2.41,40.0,1.85,63.0,2.22,33.0,60.0,1.3
Cody Floyd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Flynn,0.0,0.38,25.0,0.77,0.0,0.0,0.0,0.0,0.0
Caros Fodor,7.0,2.76,54.0,2.83,54.0,2.1,25.0,50.0,0.0
Mal Foki,1.0,2.86,14.0,14.29,54.0,0.0,0.0,0.0,0.0
Matt Foki,1.0,0.0,0.0,3.37,56.0,0.0,0.0,0.0,0.0
AJ Fonseca,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rob Font,12.0,5.58,43.0,3.57,61.0,1.2,40.0,53.0,0.6
Claudionor Fontinelle,1.0,2.62,42.0,10.25,28.0,0.0,0.0,0.0,0.0
Jesse Forbes,4.0,2.11,24.0,4.06,53.0,1.79,75.0,66.0,1.2
Sterling Ford,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Codale Ford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jussier Formiga,16.0,1.42,39.0,2.34,64.0,1.82,35.0,87.0,0.6
Renee Forte,4.0,2.08,32.0,2.12,63.0,2.32,58.0,66.0,0.0
Marcel Fortuna,3.0,3.83,46.0,4.52,64.0,0.45,8.0,75.0,0.5
Brian Foster,5.0,3.3,39.0,1.63,65.0,3.67,60.0,37.0,1.8
Xavier Foupa-Pokam,2.0,1.47,43.0,2.5,49.0,0.0,0.0,16.0,0.0
Mason Fowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Foxworth,1.0,1.33,32.0,4.59,50.0,0.0,0.0,0.0,0.0
Hermes Franca,12.0,1.78,39.0,2.85,55.0,1.53,36.0,37.0,2.4
Glaico Franca Moreira,3.0,2.35,42.0,3.46,47.0,2.68,42.0,76.0,0.3
Francisco France,1.0,0.54,33.0,3.51,27.0,0.0,0.0,0.0,6.1
John Franchi,3.0,1.83,48.0,2.59,48.0,2.68,80.0,40.0,0.3
Rich Franklin,29.0,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7
Zoila Frausto,2.0,0.77,31.0,1.64,53.0,0.0,0.0,57.0,0.0
Stephanie Frausto,1.0,1.43,21.0,3.57,60.0,0.0,0.0,0.0,0.0
Zane Frazier,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Frazier,1.0,1.5,39.0,2.77,46.0,0.0,0.0,100.0,0.0
Justin Frazier,1.0,1.11,66.0,6.11,4.0,0.0,0.0,0.0,0.0
Ian Freeman,6.0,2.54,48.0,3.11,44.0,1.44,40.0,80.0,0.7
Jason Freeman,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willamy Freire,2.0,1.53,37.0,0.93,62.0,0.5,100.0,73.0,0.0
Patricio Freire,0.0,2.84,41.0,4.43,60.0,0.6,18.0,94.0,0.6
Patricky Freire,0.0,3.06,44.0,3.34,69.0,1.26,33.0,100.0,0.0
Jeremy  Freitag,1.0,0.0,0.0,8.37,19.0,0.0,0.0,33.0,1.9
Rafael Freitas,1.0,2.0,29.0,8.0,51.0,11.25,50.0,0.0,0.0
Donavon Frelow,1.0,2.4,27.0,3.2,52.0,1.0,100.0,26.0,0.0
Clay French,1.0,1.52,50.0,1.27,16.0,0.0,0.0,100.0,0.0
Mike French,2.0,0.23,23.0,2.17,42.0,0.0,0.0,22.0,1.0
Matt Frevola,7.0,2.73,37.0,3.44,58.0,2.59,37.0,40.0,1.1
Jinh Yu Frey,3.0,1.79,40.0,3.35,44.0,1.06,42.0,83.0,0.7
Artem Frolov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarah Frota,3.0,4.52,52.0,2.57,55.0,0.0,0.0,53.0,0.0
Don Frye,17.0,2.87,64.0,3.57,37.0,0.91,57.0,45.0,0.7
Tony Fryklund,7.0,3.49,39.0,6.5,43.0,0.0,0.0,66.0,0.5
Jesse Fujarczyk,2.0,1.03,33.0,4.91,38.0,0.0,0.0,25.0,0.0
Katsuhisa Fujii,4.0,4.0,50.0,4.43,64.0,2.14,25.0,50.0,2.1
Megumi Fujii,1.0,2.4,42.0,0.0,100.0,0.0,0.0,0.0,12.0
Kazuyuki Fujita,14.0,1.05,49.0,1.99,52.0,2.78,36.0,85.0,0.6
Keisuke Fujiwara,3.0,0.73,44.0,1.2,47.0,0.0,0.0,23.0,2.5
Riki Fukuda,6.0,4.24,43.0,3.71,64.0,2.17,43.0,70.0,0.0
Masio Fullen,3.0,2.46,32.0,3.5,54.0,0.47,33.0,69.0,0.0
Travis Fulton,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Fulton,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masakatsu Funaki,3.0,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5
Ricardo Funch,4.0,2.61,65.0,3.57,40.0,1.24,18.0,60.0,0.0
Katsuaki Furuki,1.0,0.27,10.0,2.67,39.0,0.0,0.0,0.0,3.0
James Gabert,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustavo Gabriel,1.0,4.06,65.0,4.26,46.0,0.0,0.0,50.0,0.0
Claudia Gadelha,12.0,3.31,41.0,4.57,57.0,3.03,42.0,58.0,0.7
Alavutdin Gadjiev,1.0,0.99,27.0,0.99,57.0,0.0,0.0,50.0,0.0
Justin Gaethje,8.0,7.46,59.0,7.99,55.0,0.0,0.0,69.0,0.0
Sheila Gaff,2.0,1.6,50.0,2.89,28.0,0.0,0.0,20.0,0.0
Muin Gafurov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitch Gagnon,8.0,2.76,46.0,2.21,61.0,1.16,25.0,65.0,1.9
Brandon Gaines,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Galbraith,3.0,2.21,40.0,3.45,48.0,1.33,25.0,0.0,1.3
Dave Galera,1.0,1.67,69.0,0.53,33.0,0.0,0.0,14.0,2.0
Zelg Galesic,5.0,4.86,62.0,0.61,66.0,1.3,100.0,20.0,1.3
Mickey Gall,8.0,2.55,46.0,3.65,42.0,1.15,26.0,40.0,2.1
Daniel Gallemore,0.0,3.1,41.0,6.0,52.0,0.0,0.0,0.0,0.0
Tom Gallicchio,1.0,3.53,26.0,7.07,43.0,1.0,11.0,0.0,0.0
Turrell Galloway,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Galvan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Galvao,5.0,2.34,52.0,1.56,58.0,2.02,27.0,0.0,2.8
Marcos Galvao,2.0,1.97,32.0,3.86,61.0,2.27,28.0,88.0,1.1
Lucas Gamaza,1.0,7.57,31.0,6.99,45.0,0.0,0.0,0.0,0.0
Joey Gambino,2.0,2.47,35.0,2.53,51.0,0.0,0.0,42.0,0.8
Manvel Gamburyan,19.0,2.13,41.0,2.83,55.0,3.26,34.0,69.0,0.7
Mateusz Gamrot,2.0,4.26,48.0,2.2,64.0,4.91,33.0,100.0,0.0
Shamil Gamzatov,1.0,4.27,46.0,2.13,58.0,0.0,0.0,50.0,0.0
Ariel Gandulla,2.0,1.95,23.0,2.07,72.0,1.88,66.0,0.0,0.0
Ciryl Gane,6.0,5.04,55.0,1.85,69.0,1.13,26.0,100.0,0.5
Sean Gannon,1.0,0.0,0.0,6.38,28.0,0.0,0.0,50.0,0.0
Eduardo Garagorri,3.0,3.42,51.0,2.36,58.0,0.48,100.0,61.0,0.0
Cody Garbrandt,11.0,3.17,38.0,4.14,61.0,1.05,32.0,83.0,0.0
Leonard Garcia,17.0,2.77,24.0,4.79,52.0,0.3,26.0,42.0,0.5
Edgar Garcia,5.0,3.16,29.0,4.23,60.0,2.21,57.0,50.0,0.6
Alejandro Garcia,1.0,1.22,62.0,1.14,65.0,8.55,87.0,66.0,0.0
Alex Garcia,10.0,1.81,31.0,3.03,59.0,3.72,52.0,66.0,0.1
Nick Garcia,0.0,0.67,25.0,3.03,50.0,0.0,0.0,83.0,5.1
Steve Garcia,2.0,4.31,55.0,2.52,36.0,0.61,25.0,100.0,0.6
Elias Garcia,2.0,1.59,27.0,5.05,50.0,0.68,14.0,33.0,1.4
Rafa Garcia,1.0,3.47,23.0,6.6,54.0,0.0,0.0,100.0,0.0
Rulon Gardner,1.0,2.05,25.0,1.45,60.0,0.75,100.0,100.0,0.0
David Gardner,1.0,0.17,100.0,0.34,0.0,0.0,0.0,66.0,0.0
Pablo Garza,7.0,3.37,44.0,2.7,50.0,0.94,25.0,15.0,1.3
Azamat Gashimov,2.0,1.24,21.0,4.75,53.0,1.69,25.0,0.0,0.0
Brian Gassaway,2.0,0.34,26.0,3.65,44.0,0.0,0.0,42.0,0.0
Kelvin Gastelum,19.0,3.52,42.0,3.24,57.0,1.16,37.0,62.0,0.1
Willie Gates,4.0,1.8,38.0,4.28,38.0,0.0,0.0,67.0,0.4
Melissa Gatto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louis Gaudinot,5.0,2.34,37.0,6.42,48.0,0.57,40.0,31.0,1.1
Charlene Gellner,1.0,2.01,42.0,3.24,43.0,0.0,0.0,0.0,1.7
Chad George,3.0,1.26,50.0,1.11,65.0,3.08,46.0,0.0,1.3
Paul Georgieff,1.0,2.55,40.0,2.34,35.0,0.0,0.0,0.0,0.0
Brian Geraghty,1.0,0.47,25.0,9.77,36.0,0.0,0.0,50.0,0.0
Derek Getzel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karine Gevorgyan,1.0,1.2,20.0,1.8,76.0,0.0,0.0,0.0,0.0
Darrel Gholar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiki Ghosn,10.0,2.78,46.0,2.94,58.0,0.41,50.0,61.0,0.0
Christos Giagos,9.0,2.93,41.0,2.77,50.0,3.38,41.0,50.0,0.5
Joe Giannetti,1.0,1.93,38.0,2.8,40.0,1.0,16.0,0.0,0.0
Nick Gibbons,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Giboo,1.0,1.2,27.0,7.08,39.0,0.0,0.0,0.0,0.0
Lance Gibson,2.0,1.21,75.0,6.44,20.0,0.0,0.0,0.0,0.0
Lee Gibson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Gibson,4.0,2.47,31.0,2.54,63.0,1.85,38.0,58.0,0.4
Chase Gibson,1.0,3.13,54.0,6.4,52.0,0.0,0.0,0.0,0.0
Kenny Giddens,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Gifford,2.0,3.97,37.0,6.45,37.0,0.5,33.0,33.0,0.0
Joseph Gigliotti,2.0,1.04,39.0,2.92,45.0,1.56,100.0,50.0,0.8
Joey Gilbert,1.0,0.61,42.0,4.44,31.0,0.0,0.0,0.0,0.0
Trevin Giles,7.0,3.26,56.0,1.88,62.0,1.37,80.0,79.0,0.3
Kultar Gill,2.0,1.14,50.0,0.4,41.0,1.71,66.0,38.0,0.0
Jesse Gillespie,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregor Gillespie,8.0,3.74,52.0,2.3,57.0,6.86,48.0,100.0,0.8
Jason Gilliam,2.0,0.79,33.0,3.14,42.0,0.0,0.0,0.0,0.0
Krishaun Gilmore,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Gilpin,1.0,6.8,54.0,12.29,42.0,2.17,25.0,0.0,2.2
Bob Gilstrap,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demetrius Gioulacos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Giovanella,0.0,1.27,40.0,2.02,52.0,0.87,12.0,100.0,1.7
He-Man Gipson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel Giron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Girtz,0.0,2.5,60.0,1.92,47.0,5.76,100.0,100.0,0.0
Jason Glaza,0.0,4.34,54.0,0.43,40.0,4.34,100.0,0.0,4.3
Mike Glenn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rick Glenn,6.0,4.31,42.0,4.29,53.0,0.67,13.0,66.0,0.3
Mark Godbeer,4.0,3.97,53.0,3.3,54.0,0.0,0.0,28.0,0.0
Clint Godfrey,2.0,0.57,31.0,0.96,65.0,0.85,25.0,50.0,0.0
Loopy Godinez,1.0,2.67,54.0,2.07,64.0,3.0,33.0,85.0,0.0
Jason Godsey,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Goes,6.0,0.64,52.0,1.35,41.0,1.75,40.0,0.0,2.6
Jonny Goh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannah Goldy,2.0,6.53,46.0,3.9,55.0,0.0,0.0,66.0,0.0
Marcelo Golm,4.0,4.27,58.0,4.3,45.0,0.45,50.0,87.0,0.5
Sergio Gomez,2.0,1.5,42.0,1.16,56.0,2.57,66.0,31.0,0.0
Frank Gomez,4.0,1.52,48.0,0.79,66.0,1.14,60.0,70.0,0.8
Alan Gomez,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Gomez,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ulysses Gomez,2.0,2.72,25.0,3.57,68.0,0.0,0.0,0.0,0.0
Joey Gomez,2.0,2.44,28.0,4.46,55.0,0.62,100.0,50.0,0.0
Luis Gomez,1.0,1.57,33.0,4.03,55.0,4.48,50.0,33.0,0.0
Joey Gomez,1.0,3.73,49.0,3.33,50.0,2.0,28.0,0.0,0.0
Edson Gomez,1.0,2.66,32.0,8.78,45.0,0.0,0.0,0.0,0.0
Silvana Gomez Juarez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Takanori Gomi,29.0,3.81,41.0,3.52,60.0,1.23,65.0,63.0,0.8
Akihiro Gono,13.0,2.18,48.0,2.67,63.0,1.01,84.0,46.0,0.5
Gabriel Gonzaga,23.0,2.12,45.0,2.94,57.0,2.8,39.0,66.0,1.1
Justin Gonzales,1.0,6.67,80.0,0.87,43.0,14.0,73.0,100.0,0.0
Fernando Gonzalez,4.0,4.47,47.0,4.03,65.0,0.86,33.0,43.0,1.4
Nick Gonzalez,2.0,0.59,20.0,2.35,33.0,0.0,0.0,50.0,0.0
Fabian Gonzalez,0.0,3.9,48.0,4.39,51.0,0.0,0.0,66.0,0.0
Lewis Gonzalez,1.0,1.4,37.0,1.87,41.0,2.0,33.0,62.0,0.0
Jason Gonzalez,4.0,3.06,39.0,3.13,58.0,0.0,0.0,30.0,1.0
Pearl Gonzalez,2.0,2.23,37.0,4.07,57.0,1.04,11.0,0.0,0.5
Jorge Gonzalez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikey Gonzalez,1.0,0.91,16.0,14.55,11.0,0.0,0.0,0.0,0.0
Kier Gooch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lyman Good,6.0,5.34,48.0,4.01,63.0,0.27,100.0,75.0,0.0
Jared Gooden,2.0,4.77,41.0,7.6,49.0,0.5,100.0,83.0,0.0
Gary Goodridge,30.0,1.84,56.0,2.14,48.0,0.4,100.0,53.0,0.8
Jordan Goodwin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerard Gordeau,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddie Gordon,4.0,2.03,32.0,2.57,60.0,1.93,83.0,63.0,0.0
Jared Gordon,8.0,5.54,56.0,3.22,60.0,2.81,39.0,55.0,0.0
Tebaris Gordon,1.0,3.53,16.0,49.41,22.0,0.0,0.0,0.0,0.0
Malcolm Gordon,2.0,0.55,13.0,3.87,54.0,0.0,0.0,0.0,0.0
Alex Gorgees,1.0,0.67,32.0,2.27,38.0,0.0,0.0,54.0,0.0
Tim Gorman,2.0,2.73,31.0,5.57,46.0,1.0,9.0,33.0,0.0
Chase Gormley,2.0,3.6,42.0,6.03,44.0,3.12,42.0,0.0,1.0
Jonathan Goulet,9.0,1.61,41.0,2.01,46.0,4.17,70.0,45.0,0.6
Thibault Gouti,6.0,3.68,34.0,5.64,50.0,1.23,80.0,83.0,0.3
Wilson Gouveia,10.0,3.02,39.0,4.06,56.0,0.9,66.0,57.0,2.2
Todd Gouwenberg,1.0,0.52,23.0,2.93,42.0,1.57,33.0,50.0,0.0
Hugo Govea,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Governale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Grabowski,3.0,4.0,36.0,7.65,51.0,0.0,0.0,0.0,0.0
Royce Gracie,17.0,0.88,41.0,1.13,37.0,0.0,0.0,66.0,0.8
Crosley Gracie,2.0,1.69,37.0,1.54,60.0,3.46,85.0,50.0,0.6
Daniel Gracie,3.0,1.9,38.0,1.33,59.0,0.36,100.0,80.0,2.1
Ralph Gracie,2.0,0.86,37.0,1.72,31.0,0.0,0.0,25.0,4.0
Renzo Gracie,11.0,1.71,41.0,1.67,55.0,1.13,20.0,40.0,0.8
Rickson Gracie,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Gracie,5.0,1.34,51.0,0.86,46.0,1.49,50.0,75.0,0.4
Royler Gracie,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Gracie,7.0,0.82,61.0,0.5,40.0,2.83,75.0,25.0,0.9
Ralek Gracie,2.0,1.61,46.0,1.05,55.0,2.5,75.0,0.0,1.7
Rolles Gracie,1.0,2.3,32.0,3.38,55.0,2.3,10.0,0.0,0.0
Cesar Gracie,1.0,0.0,0.0,17.14,50.0,0.0,0.0,0.0,0.0
Roger Gracie,6.0,1.78,35.0,1.79,61.0,1.87,53.0,60.0,1.9
Igor Gracie,1.0,1.86,60.0,0.99,50.0,3.72,50.0,0.0,3.7
Neiman Gracie,0.0,0.77,100.0,0.38,75.0,5.77,100.0,0.0,5.8
Kron Gracie,2.0,5.15,41.0,8.13,53.0,0.88,25.0,0.0,0.9
Steven Graham,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Graham,3.0,0.91,42.0,2.27,28.0,0.0,0.0,0.0,0.0
Miranda Granger,3.0,2.91,48.0,2.64,59.0,0.0,0.0,40.0,0.0
TJ Grant,11.0,3.95,54.0,3.21,56.0,1.63,43.0,36.0,0.6
Davey Grant,7.0,3.93,47.0,2.47,63.0,2.3,45.0,66.0,0.2
Dwight Grant,6.0,3.36,36.0,2.17,64.0,0.5,100.0,71.0,0.0
Alexa Grasso,8.0,4.96,43.0,3.61,64.0,0.28,40.0,60.0,0.6
Tony Gravely,4.0,4.01,54.0,3.11,45.0,6.11,54.0,52.0,0.6
Michael Graves,3.0,1.25,54.0,1.47,58.0,4.8,52.0,66.0,0.4
Shelton Graves,1.0,2.19,69.0,0.81,33.0,4.86,57.0,0.0,0.0
James Gray,1.0,2.61,50.0,18.26,44.0,0.0,0.0,0.0,0.0
Kevin Gray,1.0,3.45,62.0,4.48,66.0,0.0,0.0,0.0,0.0
Sam Greco,1.0,2.4,75.0,1.33,53.0,0.0,0.0,25.0,1.0
Bobby Green,21.0,5.17,51.0,3.32,63.0,1.56,41.0,72.0,0.3
Desmond Green,7.0,3.7,46.0,2.51,69.0,1.62,50.0,75.0,0.0
Gabe Green,2.0,6.57,46.0,7.23,49.0,1.0,100.0,57.0,0.5
Maurice Greene,8.0,3.28,45.0,3.61,45.0,0.0,0.0,27.0,0.4
Matt Grice,7.0,4.09,53.0,2.69,56.0,2.19,37.0,82.0,0.5
Forrest Griffin,18.0,4.38,36.0,2.81,61.0,1.05,48.0,57.0,0.7
Tyson Griffin,15.0,3.71,41.0,2.3,65.0,1.87,46.0,59.0,0.9
Max Griffin,11.0,4.14,48.0,3.94,56.0,1.7,51.0,66.0,0.5
Jordan Griffin,6.0,2.52,46.0,3.02,50.0,1.45,35.0,42.0,1.9
Chad Griggs,5.0,2.67,50.0,2.22,46.0,1.51,66.0,41.0,0.0
Chuck Grigsby,1.0,0.71,16.0,3.29,46.0,0.0,0.0,66.0,0.0
