Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,X,Y
Alessio Di Chirico,7,3.2,42,3.22,62,1.95,50,83,0.0,11, 7
Alessio Sakara,15,3.96,47,2.8,59,2.18,78,62,0.0,7, 0
Alex Caceres,21,3.98,48,2.86,64,0.53,75,58,0.8,6, 0
Alex Chambers,5,2.97,54,5.1,50,2.31,41,53,1.0,2, 8
Alex Garcia,10,1.81,31,3.03,59,3.72,52,66,0.1,12, 0
Alex Karalexis,10,2.57,42,2.39,54,2.7,45,86,0.9,11, 5
Alex Morono,10,4.42,39,3.1,61,0.0,0,35,0.6,4, 12
Alex Nicholson,4,4.12,43,4.65,47,0.0,0,50,0.5,7, 12
Alex Oliveira,17,2.88,50,2.18,47,2.69,37,58,0.6,2, 3
Alex Perez,6,4.48,47,2.99,62,3.27,50,87,1.5,12, 7
Alex Serdyukov,6,4.94,48,3.1,46,1.84,55,67,1.8,12, 8
Alex Stiebling,9,1.77,42,1.45,52,0.35,66,66,0.7,7, 2
Alex White,10,3.76,42,3.07,60,0.92,28,71,0.5,9, 9
Alexa Grasso,7,5.25,41,3.61,63,0.19,33,63,0.6,12, 11
Alexander Gustafsson,16,4.02,40,3.44,51,1.56,39,85,0.4,10, 9
Alexander Hernandez,5,3.07,41,3.25,50,1.52,30,57,0.0,6, 9
Alexander Otsuka,12,0.9,55,1.16,51,1.51,43,53,0.8,2, 5
Alexander Volkanovski,8,6.15,57,3.14,59,2.16,34,72,0.4,12, 11
Alexander Volkov,7,5.36,60,2.48,58,0.75,75,76,0.2,7, 0
Alexander Yakovlev,8,1.79,47,2.44,58,1.56,33,72,0.2,9, 6
Alexandra Albu,4,4.83,47,5.56,38,2.27,50,77,0.4,12, 10
Alexandre Pantoja,8,4.58,47,3.53,56,1.1,35,60,1.3,12, 11
Alexis Davis,14,4.27,46,4.18,55,0.74,33,32,0.8,2, 9
Ali Bagautinov,7,2.85,42,3.09,52,2.51,36,65,0.3,7, 7
Alistair Overeem,47,3.54,62,2.15,59,1.39,53,73,0.9,0, 0
Aljamain Sterling,13,4.85,50,1.95,66,1.91,29,51,0.8,3, 3
Allan Goes,6,0.64,52,1.35,41,1.75,40,0,2.6,0, 11
Alptekin Ozkilic,4,3.81,32,5.72,59,4.21,58,75,0.0,12, 0
Alvaro Herrera,4,1.89,38,3.4,55,0.0,0,33,1.1,2, 12
Alvin Cacdac,5,1.21,66,0.61,0,0.0,0,0,0.0,1, 12
Alvin Robinson,4,1.57,50,1.29,51,1.24,50,25,1.2,0, 6
Amanda Cooper,6,3.55,44,3.2,51,1.53,38,28,1.8,0, 9
Amanda Nunes,16,4.34,49,2.63,55,2.33,47,80,0.7,4, 0
Amar Suloev,6,1.98,37,2.19,70,0.27,100,88,0.3,8, 0
Amir Sadollah,11,4.71,46,3.55,60,0.57,27,60,0.3,11, 11
Anderson Silva,42,3.04,62,1.98,61,0.52,77,69,0.8,0, 0
Andre Ewell,5,3.74,40,3.95,54,0.21,50,66,0.0,11, 9
Andre Fili,14,4.0,37,3.96,53,2.49,45,69,0.2,5, 0
Andre Galvao,5,2.34,52,1.56,58,2.02,27,0,2.8,0, 11
Andre Soukhamthath,7,2.77,44,4.31,49,1.25,53,58,0.2,6, 3
Andre Winner,6,2.52,33,4.57,51,0.0,0,74,0.0,8, 12
Andrea Lee,5,5.4,48,3.8,65,1.4,38,61,0.6,12, 11
Andrei Arlovski,38,3.55,44,2.69,59,0.52,36,79,0.3,0, 0
Andrew Craig,7,2.39,40,3.01,50,0.53,37,72,0.0,8, 8
Andrew Holbrook,5,2.2,49,3.0,54,0.85,18,10,2.1,0, 12
Andrew Sanchez,8,4.49,43,4.92,50,2.25,33,100,0.0,11, 9
Andrews Nakahara,4,2.68,44,1.9,57,0.0,0,72,0.4,6, 12
Andy Ogle,6,2.24,44,2.23,50,1.44,26,58,0.0,5, 9
Angela Hill,14,5.74,49,5.13,64,0.5,37,72,0.2,12, 11
Anthony Birchak,4,3.98,35,2.26,66,0.68,16,83,0.0,9, 9
Anthony Figueroa,6,2.37,48,3.77,49,0.0,0,58,0.0,6, 12
Anthony Hamilton,10,3.91,65,3.02,45,2.62,42,78,0.0,12, 6
Anthony Johnson,19,3.25,47,1.83,60,2.43,57,77,0.6,4, 1
Anthony Njokuani,15,3.94,46,2.41,65,0.5,45,53,0.2,5, 2
Anthony Perosh,12,2.27,43,3.77,53,2.03,22,33,1.1,2, 10
Anthony Pettis,24,2.97,46,3.48,53,0.67,54,58,1.2,0, 0
Anthony Rocco Martin,15,2.7,36,2.45,59,0.68,25,64,1.1,7, 9
Anthony Ruiz,6,2.56,64,1.67,28,1.43,31,21,0.0,1, 9
Anthony Smith,17,3.06,47,4.28,44,0.41,26,51,0.8,6, 11
Antoni Hardonk,8,3.4,61,3.07,46,0.0,0,40,0.9,5, 12
Antonina Shevchenko,4,4.9,57,1.92,65,0.67,100,58,1.0,8, 0
Antonio Banuelos,14,2.69,33,3.15,58,1.62,62,86,0.4,5, 0
Antonio Carlos Junior,12,1.91,44,1.98,53,3.7,44,53,0.9,2, 4
Antonio Carvalho,4,3.03,29,3.62,64,0.0,0,100,0.0,8, 10
Antonio Schembri,5,0.72,26,2.12,55,1.31,40,0,0.4,0, 11
Antonio Silva,20,2.89,45,3.09,50,0.82,29,66,0.8,3, 0
Antwain Britt,4,1.46,39,2.81,44,1.56,40,50,0.0,4, 7
Arjan Bhullar,4,2.33,56,3.25,59,1.73,75,100,0.0,9, 0
Arnold Allen,7,3.19,41,2.0,67,1.36,52,76,0.5,9, 5
Artem Lobov,7,3.52,41,4.82,50,0.39,25,52,0.0,7, 12
Ashlee Evans-Smith,7,4.86,35,4.39,57,1.3,25,72,0.0,11, 11
Ashley Yoder,6,3.1,42,3.56,49,1.33,38,66,0.5,8, 8
Aspen Ladd,5,5.22,55,4.84,46,2.45,75,66,1.2,9, 0
Assuerio Silva,6,1.42,46,4.2,54,2.66,34,25,1.8,0, 8
Atsushi Yamamoto,4,1.97,39,1.27,70,1.12,33,100,0.0,9, 7
Augusto Sakai,4,5.51,46,3.77,57,0.24,50,88,0.0,12, 9
Austin Arnett,4,4.52,41,6.38,62,0.44,18,57,0.2,10, 12
Bart Palaszewski,12,2.67,32,3.97,57,0.65,31,53,0.5,6, 9
Bartosz Fabinski,4,2.22,70,1.35,53,7.17,70,80,0.0,12, 0
Bec Rawlings,7,4.48,42,5.66,57,0.71,40,68,0.4,11, 11
Belal Muhammad,11,4.37,41,3.81,60,2.15,31,83,0.2,10, 9
Ben Nguyen,7,3.51,40,3.01,59,0.25,33,63,1.0,7, 9
Ben Rothwell,22,3.34,42,4.58,46,0.66,33,69,0.3,3, 0
Ben Saunders,19,3.23,50,3.58,51,0.2,40,66,1.3,4, 0
Beneil Dariush,17,3.87,49,2.65,59,1.8,33,80,1.1,4, 0
Benji Radach,6,2.62,49,2.31,51,1.06,41,71,0.4,11, 5
Benson Henderson,20,2.93,45,1.79,63,2.4,45,63,0.8,3, 2
Bethe Correia,11,4.47,44,4.28,60,0.37,20,84,0.0,10, 11
Bibiano Fernandes,10,2.91,40,2.02,72,3.97,53,77,0.6,12, 0
Billy Evangelista,10,4.51,40,3.96,61,1.6,19,61,0.2,9, 10
BJ Penn,32,2.76,48,3.2,56,1.19,55,74,0.5,0, 0
Blagoy Ivanov,5,3.09,38,3.93,55,1.07,62,75,0.2,8, 3
Blas Avena,6,2.34,47,3.36,43,2.37,80,50,1.8,9, 1
Bob Sapp,7,3.19,55,1.88,49,0.58,100,72,0.0,8, 0
Bobby Green,17,4.95,49,3.7,63,1.12,29,74,0.3,12, 11
Bobby Southworth,8,0.99,39,1.38,65,3.98,78,64,1.3,10, 1
Bobby Stack,5,1.0,20,2.89,34,7.48,45,100,0.0,12, 0
Bobby Voelker,9,4.01,35,5.84,42,1.04,50,66,0.0,11, 10
Bojan Velickovic,6,2.18,34,2.31,57,0.67,25,55,0.5,5, 9
Brad Blackburn,5,4.55,35,3.59,65,0.93,50,76,0.7,12, 9
Brad Katona,4,3.33,51,2.98,57,1.25,22,47,0.0,5, 12
Brad Pickett,18,3.02,31,4.63,55,2.47,44,58,0.4,4, 1
Brad Tavares,18,3.0,40,2.76,55,1.03,27,77,0.0,8, 9
Bradley Scott,8,3.52,41,4.31,57,0.32,15,63,0.7,7, 12
Brandon Davis,7,4.65,35,4.33,60,0.71,45,56,0.1,11, 10
Brandon Moreno,8,3.0,34,2.94,63,1.75,40,69,0.5,7, 7
Brandon Thatch,7,2.7,42,3.63,52,1.36,66,50,0.7,7, 2
Brandon Vera,18,3.03,56,2.81,52,0.7,53,59,0.2,5, 0
Brendan O'Reilly,4,1.9,47,2.77,39,2.22,43,36,0.6,2, 8
Brendan Schaub,11,2.92,37,2.22,57,2.32,46,72,0.4,8, 6
Brett Johns,6,3.3,48,4.27,54,4.29,52,61,1.0,12, 0
Brett Rogers,7,3.17,44,3.2,46,0.0,0,58,0.0,6, 12
Brian Bowles,10,2.36,26,2.98,64,1.39,70,54,1.4,7, 3
Brian Ebersole,9,2.32,49,2.14,56,1.7,23,61,0.1,6, 9
Brian Foster,5,3.3,39,1.63,65,3.67,60,37,1.8,5, 4
Brian Kelleher,7,4.87,45,5.83,54,1.47,29,84,0.9,11, 11
Brian Melancon,4,4.18,49,3.64,64,2.02,100,66,0.0,8, 0
Brian Ortega,8,4.07,33,7.36,50,0.51,16,56,1.4,9, 12
Brian Stann,17,3.28,42,2.65,59,0.12,12,60,0.3,6, 11
Brock Larson,11,1.39,46,1.5,55,2.67,34,43,2.0,1, 5
Brock Lesnar,9,3.53,72,2.11,50,3.9,55,60,0.5,12, 3
Bryan Barberena,10,5.65,48,5.0,44,0.26,33,47,0.3,12, 12
Bryan Caraway,14,2.53,34,3.61,54,2.57,25,80,0.8,8, 8
Bryce Mitchell,4,1.78,50,1.81,59,1.75,28,33,1.8,2, 10
Cain Velasquez,17,6.37,57,2.33,57,5.13,45,85,0.4,12, 8
Caio Magalhaes,7,2.27,40,2.78,56,1.05,15,58,1.6,5, 10
Calvin Kattar,7,5.12,41,6.36,57,0.47,33,77,0.0,11, 12
Caol Uno,15,1.91,49,1.9,50,1.95,31,37,0.5,0, 4
Carla Esparza,10,2.22,40,2.86,53,3.53,36,48,0.3,2, 5
Carlo Prater,6,2.03,47,4.07,35,0.43,9,57,1.7,5, 12
Carlos Condit,22,3.56,39,2.34,57,0.58,55,36,1.2,0, 2
Carlos Newton,16,0.65,41,1.55,44,2.47,70,43,0.9,2, 4
Carmelo Marrero,5,0.84,34,2.04,54,3.21,36,36,0.9,2, 6
Caros Fodor,7,2.76,54,2.83,54,2.1,25,50,0.0,5, 10
Casey Olson,4,2.48,60,0.0,100,3.54,57,100,1.8,12, 2
Cat Zingano,7,2.57,61,1.63,47,2.77,65,42,0.8,10, 2
Cathal Pendred,6,2.49,44,3.01,55,2.46,23,83,0.4,9, 8
CB Dollaway,20,2.65,47,2.58,54,3.55,54,62,1.2,3, 2
Cezar Ferreira,15,1.9,42,2.44,53,2.69,53,84,0.5,11, 3
Chad Griggs,5,2.67,50,2.22,46,1.51,66,41,0.0,7, 2
Chad Laprise,10,4.78,42,3.59,65,1.05,54,78,0.0,12, 9
Chad Mendes,18,2.78,49,2.35,67,4.13,55,100,0.3,12, 0
Chael Sonnen,19,3.08,43,1.1,62,3.81,59,66,0.4,3, 2
Chan Sung Jung,10,4.58,41,3.73,60,0.78,41,77,0.6,12, 10
